tier,rank,name,position,positionRank,team,bye,age,pts,adp,vbd
5,307,Lance Kendricks,TE,TE35,LA,8,,18.14,n/a,-17.76
,308,New York Giants,D,TD13,NYG,8,,95.2,n/a,0.05
,309,San Francisco 49ers,D,TD14,SF,8,,94.56,n/a,-0.59
8,310,Carson Wentz,QB,QB35,PHI,4,,34.36,n/a,-63.28
,311,Houston Texans,D,TD15,HOU,9,,94.24,n/a,-0.91
,312,New York Jets,D,TD15,NYJ,11,,94.24,n/a,-0.91
7,313,Devin Smith,WR,WR123,NYJ,11,,12.81,n/a,-35.03
7,314,Marcel Reece,RB,RB93,OAK,10,,11.89,n/a,-37.8
5,315,Crockett Gillmore,TE,TE36,BAL,8,,18,n/a,-17.9
1,316,Dan Carpenter,K,PK13,BUF,10,,41.28,n/a,0.11
,317,Indianapolis Colts,D,TD17,IND,10,,92.16,n/a,-2.99
1,318,Adam Vinatieri,K,PK14,IND,10,,40.64,n/a,-0.53
8,319,Josh McCown,QB,QB36,CLE,13,,26.32,n/a,-71.32
1,320,Mike Nugent,K,PK15,CIN,9,,40,n/a,-1.17
,321,Washington Redskins,D,TD18,WAS,9,,92,n/a,-3.15
1,322,Jason Myers,K,PK15,JAX,5,,40,n/a,-1.17
,323,Detroit Lions,D,TD19,DET,10,,91.52,n/a,-3.63
1,324,Sebastian Janikowski,K,PK17,OAK,10,,39.68,n/a,-1.49
